"Atendimento";"Placa";"Motivo OS"
"6481545";"SYO4E73";"PREVENTIVA"
"6481544";"GDN6I64";"PREVENTIVA"
"6481543";"GCH2A73";"PREVENTIVA"
"6481542";"SSU0H21";"PREVENTIVA"
"6481541";"EWJ8C75";"O.S Rápida"
"6481540";"ELS2E81";"CORRETIVA"
"6481539";"SYE1D93";"CORRETIVA"
"6481538";"RUY9I85";"GUINCHO"
"6481537";"RVW8C46";"CORRETIVA"
"6481536";"SVM7C17";"PREVENTIVA"
"6481535";"RTM9J84";"PREVENTIVA"
"6481534";"SYF0B68";"CORRETIVA"
"6481533";"FXW2F11";""
"6481532";"SYG5C11";"PREVENTIVA"
"6481531";"STR1H70";"PREVENTIVA"
"6481530";"DMP5I61";""
"6481529";"FSL3E22";""
"6481528";"SWR4H21";"PREVENTIVA"
"6481527";"SSW2H37";""
"6481526";"SUO6I46";""
"6481525";"EWC3I02";"PREVENTIVA"
"6481524";"STY0B95";"CORRETIVA"
"6481523";"RML9B61";"SINISTRO"
"6481522";"SUE4E67";""
"6481521";"SVD6G10";""
"6481520";"RNF5H62";"O.S Rápida"
"6481519";"FVT4C22";"PREVENTIVA"
"6481518";"RFH5B30";"DESMOBILIZAÇÃO"
"6481517";"STO1D61";"PREVENTIVA"
"6481515";"STN0J40";"CORRETIVA"
"6481514";"RNH7J10";"O.S Rápida"
"6481513";"SYF0B55";"CORRETIVA"
"6481512";"TJZ1A93";"PREVENTIVA"
"6481511";"EFO1B92";"CORRETIVA"
"6481510";"EBY5I61";"RASTREADOR RETIRADA"
"6481509";"SHP0E49";"PREVENTIVA"
"6481508";"SWE1J81";"PREVENTIVA"
"6481507";"SWF7A31";"CORRETIVA"
"6481506";"GEU4D32";""
"6481505";"GFK0I31";"PREVENTIVA"
"6481504";"ECO4F21";"RASTREADOR RETIRADA"
"6481503";"FIW6F83";"RASTREADOR RETIRADA"
"6481502";"RNH7J07";"O.S Rápida"
"6481501";"FIW6F83";"DESMOBILIZAÇÃO"
"6481500";"EBY5I61";"DESMOBILIZAÇÃO"
"6481498";"ECO4F21";"DESMOBILIZAÇÃO"
"6481497";"RNH7J21";"O.S Rápida"
"6481496";"TIP0E92";"CORRETIVA"
"6481495";"FFW6I82";"RASTREADOR RETIRADA"
"6481494";"SVK9J11";"PREVENTIVA"
"6481493";"FFW6I82";"DESMOBILIZAÇÃO"
"6481492";"STP0C21";""
"6481491";"RMO0C67";"O.S Rápida"
"6481490";"GGW6B55";""
"6481489";"SWV7I81";"PREVENTIVA"
"6481488";"RMO0C74";"O.S Rápida"
"6481487";"FIX3C31";""
"6481486";"EGD1F93";""
"6481485";"ECS0B91";"PREVENTIVA"
"6481484";"TJR0B09";""
